,GEOID,CD
713,1500000US280010004001,01
714,1500000US280010004002,01
715,1500000US280010004003,01
716,1500000US280010005001,01
717,1500000US280010005003,01
718,1500000US280010005004,01
719,1500000US280010005005,01
720,1500000US280010006001,01
721,1500000US280010006002,01
722,1500000US280010006003,01
723,1500000US280010007002,01
724,1500000US280010008001,01
725,1500000US280010008002,01
726,1500000US280010008003,01
727,1500000US280010009001,01
728,1500000US280010009002,01
729,1500000US280490102032,01
730,1500000US280490103011,01
731,1500000US280490103012,01
732,1500000US280490103041,01
733,1500000US280490103043,01
734,1500000US280490103051,01
735,1500000US280490103052,01
736,1500000US280490104001,01
737,1500000US280010001002,01
738,1500000US280010001003,01
739,1500000US280010001004,01
740,1500000US280010002001,01
741,1500000US280010002002,01
742,1500000US280490008002,01
743,1500000US280490008004,01
744,1500000US280490008005,01
745,1500000US280490009001,01
746,1500000US280490010001,01
747,1500000US280490010002,04
748,1500000US280490011001,04
749,1500000US280490012001,04
750,1500000US280490012002,04
751,1500000US280490013001,04
752,1500000US280490013002,04
753,1500000US280490014001,04
754,1500000US280490014002,04
755,1500000US280490015001,04
756,1500000US280490015002,04
757,1500000US280490016001,04
758,1500000US280490016002,04
759,1500000US280490016004,00
760,1500000US280490019001,04
761,1500000US280490019002,04
762,1500000US280490020002,04
763,1500000US280490021001,01
764,1500000US280490021002,01
765,1500000US280490021004,04
766,1500000US280490022001,01
767,1500000US280490022002,01
768,1500000US280490023001,01
769,1500000US280490024002,04
770,1500000US280490024003,01
771,1500000US280490025001,04
772,1500000US280490027001,04
773,1500000US280039505003,03
774,1500000US280039505004,03
775,1500000US280039506001,03
776,1500000US280039506002,03
777,1500000US280039507001,03
778,1500000US280039507002,03
779,1500000US280039507003,03
780,1500000US280059501001,01
781,1500000US280059501002,01
782,1500000US280059501003,01
783,1500000US280059501005,01
784,1500000US280070601001,03
785,1500000US280070601002,01
786,1500000US280070602002,01
787,1500000US280070603001,01
788,1500000US280070603002,01
789,1500000US280059502001,01
790,1500000US280059502002,01
791,1500000US280059502003,01
792,1500000US280059503001,01
793,1500000US280059503003,01
794,1500000US280059503004,01
795,1500000US280059503005,01
796,1500000US280010009004,01
797,1500000US280039501001,03
798,1500000US280039501002,03
799,1500000US280039501003,03
800,1500000US280039502001,03
801,1500000US280039502002,03
802,1500000US280039502003,03
803,1500000US280039502005,03
804,1500000US280039502006,03
805,1500000US280039503001,03
806,1500000US280039503002,03
807,1500000US280039504001,03
808,1500000US280039504002,03
809,1500000US280039504003,03
810,1500000US280039504004,03
811,1500000US280039505001,03
812,1500000US280099501003,03
813,1500000US280099501004,03
814,1500000US280099501005,03
815,1500000US280099502001,03
816,1500000US280099502002,03
817,1500000US280119501001,01
818,1500000US280119501003,01
819,1500000US280119502001,01
820,1500000US280119507012,00
821,1500000US280119507021,01
822,1500000US280119507022,01
823,1500000US280139501001,03
824,1500000US280139501002,03
825,1500000US280139501003,03
826,1500000US280139502001,03
827,1500000US280139503001,03
828,1500000US280139503002,03
829,1500000US280139503003,03
830,1500000US280119502002,01
831,1500000US280119503001,01
832,1500000US280119503002,01
833,1500000US280119503003,01
834,1500000US280119503004,01
835,1500000US280119504001,01
836,1500000US280119504002,01
837,1500000US280119504003,01
838,1500000US280119504005,01
839,1500000US280119505001,01
840,1500000US280119505002,01
841,1500000US280119505003,01
842,1500000US280119506002,01
843,1500000US280119506003,01
844,1500000US280119506004,01
845,1500000US280119507011,01
846,1500000US280070603003,01
847,1500000US280070604001,03
848,1500000US280070604002,01
849,1500000US280070604003,01
850,1500000US280070605003,01
851,1500000US280070606001,01
852,1500000US280070606002,01
853,1500000US280070606003,01
854,1500000US280099501001,03
855,1500000US280099501002,03
856,1500000US280179504001,03
857,1500000US280179504002,03
858,1500000US280179504004,04
859,1500000US280179504005,04
860,1500000US280199501001,04
861,1500000US280199501002,03
862,1500000US280199501003,03
863,1500000US280199502001,03
864,1500000US280199502002,04
865,1500000US280139504002,03
866,1500000US280139504003,03
867,1500000US280139505001,03
868,1500000US280139505002,03
869,1500000US280139505003,03
870,1500000US280159501001,03
871,1500000US280159501002,03
872,1500000US280159501003,03
873,1500000US280159501004,03
874,1500000US280159502001,03
875,1500000US280159502002,01
876,1500000US280159502003,01
877,1500000US280159502005,01
878,1500000US280179501001,04
879,1500000US280179501004,04
880,1500000US280179502001,03
881,1500000US280179502002,03
882,1500000US280179503001,03
883,1500000US280179503002,03
884,1500000US280179503003,03
885,1500000US280179503004,03
886,1500000US280219503004,01
887,1500000US280239501001,02
888,1500000US280239501002,02
889,1500000US280239501003,02
890,1500000US280239501004,02
891,1500000US280239501005,02
892,1500000US280239502002,02
893,1500000US280239502003,02
894,1500000US280259501003,04
895,1500000US280259502001,04
896,1500000US280259502002,04
897,1500000US280259503003,04
898,1500000US280259504001,04
899,1500000US280259504002,04
900,1500000US280259504003,04
901,1500000US280259504004,04
902,1500000US280259505001,04
903,1500000US280259505002,04
904,1500000US280239502004,02
905,1500000US280239503001,02
906,1500000US280239503002,02
907,1500000US280239503004,02
908,1500000US280239504001,02
909,1500000US280239504002,02
910,1500000US280239504003,02
911,1500000US280259501001,04
912,1500000US280259501002,04
913,1500000US280199502003,04
914,1500000US280199503001,04
915,1500000US280199503002,04
916,1500000US280219501003,01
917,1500000US280219502001,01
918,1500000US280219502002,01
919,1500000US280219503001,01
920,1500000US280219503002,01
921,1500000US280219503003,01
922,1500000US280279503003,01
923,1500000US280279504002,01
924,1500000US280279504003,01
925,1500000US280279504004,01
926,1500000US280279505002,01
927,1500000US280279505003,01
928,1500000US280279505004,01
929,1500000US280279506001,01
930,1500000US280279507001,01
931,1500000US280279507003,01
932,1500000US280279507004,01
933,1500000US280279507005,01
934,1500000US280299501001,04
935,1500000US280299501002,04
936,1500000US280299501004,04
937,1500000US280299501005,04
938,1500000US280299502001,04
939,1500000US280299502002,04
940,1500000US280299502003,04
941,1500000US280299502004,04
942,1500000US280299505002,04
943,1500000US280299505003,04
944,1500000US280299505004,04
945,1500000US280299506001,01
946,1500000US280299506002,01
947,1500000US280299502005,04
948,1500000US280299503001,01
949,1500000US280299503002,01
950,1500000US280299503003,01
951,1500000US280299504003,04
952,1500000US280299504004,04
953,1500000US280299505001,04
954,1500000US280259505003,04
955,1500000US280279501001,01
956,1500000US280279501003,01
957,1500000US280279501004,01
958,1500000US280279502001,01
959,1500000US280279502002,01
960,1500000US280279503001,01
961,1500000US280279503002,01
962,1500000US280319504003,02
963,1500000US280319504004,02
964,1500000US280330701012,01
965,1500000US280330701021,01
966,1500000US280330702101,01
967,1500000US280330702211,01
968,1500000US280330702212,01
969,1500000US280330702221,03
970,1500000US280330703101,03
971,1500000US280330703221,03
972,1500000US280330703222,03
973,1500000US280330703231,01
974,1500000US280330703232,03
975,1500000US280590408001,02
976,1500000US280590409001,02
977,1500000US280590409002,02
978,1500000US280590409003,02
979,1500000US280590410002,02
980,1500000US280590410003,02
981,1500000US280590421004,00
982,1500000US280590422001,02
983,1500000US280590422002,02
984,1500000US280590422003,02
985,1500000US280590425001,02
986,1500000US280590425002,02
987,1500000US280590425003,02
988,1500000US280590426002,02
989,1500000US280590426003,02
990,1500000US280590427001,02
991,1500000US280590427002,02
992,1500000US280590429001,02
993,1500000US280590429003,02
994,1500000US280619501001,04
995,1500000US280619501002,04
996,1500000US280590410004,02
997,1500000US280590411001,02
998,1500000US280590411003,02
999,1500000US280590411004,02
1000,1500000US280590411005,02
1001,1500000US280590413001,02
1002,1500000US280590413002,02
1003,1500000US280590413004,02
1004,1500000US280590413005,02
1005,1500000US280590413006,02
1006,1500000US280590414002,02
1007,1500000US280590414003,02
1008,1500000US280590414004,02
1009,1500000US280590415001,02
1010,1500000US280590416001,02
1011,1500000US280590417001,02
1012,1500000US280590417002,02
1013,1500000US280590418002,02
1014,1500000US280590418003,02
1015,1500000US280590419001,02
1016,1500000US280590419002,02
1017,1500000US280590420001,02
1018,1500000US280590420002,02
1019,1500000US280590420004,02
1020,1500000US280590421001,00
1021,1500000US280590421002,02
1022,1500000US280319501001,04
1023,1500000US280319501002,04
1024,1500000US280319501003,04
1025,1500000US280319502002,04
1026,1500000US280319503001,04
1027,1500000US280319503002,04
1028,1500000US280319503003,04
1029,1500000US280319503004,04
1030,1500000US280319504001,02
1031,1500000US280319504002,04
1032,1500000US280679508004,04
1033,1500000US280679508005,04
1034,1500000US280679509001,04
1035,1500000US280679509002,02
1036,1500000US280679509003,02
1037,1500000US280679509004,02
1038,1500000US280679510001,04
1039,1500000US280679510002,04
1040,1500000US280679510003,04
1041,1500000US280679511001,04
1042,1500000US280679511002,02
1043,1500000US280679511003,02
1044,1500000US280839504003,01
1045,1500000US280839506001,01
1046,1500000US280839506003,01
1047,1500000US280839506004,01
1048,1500000US280839506006,01
1049,1500000US280839507001,01
1050,1500000US280839507002,01
1051,1500000US280839508001,01
1052,1500000US280839508002,01
1053,1500000US280839508003,01
1054,1500000US280839509001,01
1055,1500000US280839509002,01
1056,1500000US280839509004,01
1057,1500000US280859501001,04
1058,1500000US280859501002,04
1059,1500000US280859501003,04
1060,1500000US280859501004,04
1061,1500000US280859502001,01
1062,1500000US280859502002,01
1063,1500000US280719505015,03
1064,1500000US280719505021,03
1065,1500000US280719505022,03
1066,1500000US280719505031,03
1067,1500000US280719505032,03
