,GEOID,CD
743,1500000US280490008004,01
744,1500000US280490008005,01
745,1500000US280490009001,01
746,1500000US280490010001,01
747,1500000US280490010002,01
748,1500000US280490011001,01
749,1500000US280490012001,01
750,1500000US280490012002,01
751,1500000US280490013001,01
752,1500000US280490013002,01
753,1500000US280490014001,01
754,1500000US280490014002,01
755,1500000US280490015001,01
756,1500000US280490015002,01
757,1500000US280490016001,01
758,1500000US280490016002,01
759,1500000US280490016004,01
760,1500000US280490019001,01
761,1500000US280490019002,01
762,1500000US280490020002,01
763,1500000US280490021001,01
764,1500000US280490021002,01
765,1500000US280490021004,01
766,1500000US280490022001,01
767,1500000US280490022002,01
768,1500000US280490023001,01
769,1500000US280490024002,01
770,1500000US280490024003,01
771,1500000US280490025001,01
772,1500000US280490027001,01
773,1500000US280039505003,02
774,1500000US280039505004,02
775,1500000US280039506001,02
776,1500000US280039506002,02
777,1500000US280039507001,02
778,1500000US280039507002,02
779,1500000US280039507003,02
780,1500000US280059501001,04
781,1500000US280059501002,04
782,1500000US280059501003,04
783,1500000US280059501005,04
784,1500000US280070601001,02
785,1500000US280070601002,02
786,1500000US280070602002,03
787,1500000US280070603001,03
788,1500000US280070603002,03
789,1500000US280059502001,04
790,1500000US280059502002,01
791,1500000US280059502003,01
792,1500000US280059503001,04
793,1500000US280059503003,04
794,1500000US280059503004,01
795,1500000US280059503005,01
796,1500000US280010009004,01
797,1500000US280039501001,02
798,1500000US280039501002,02
799,1500000US280039501003,02
800,1500000US280039502001,02
801,1500000US280039502002,02
802,1500000US280039502003,02
803,1500000US280039502005,02
804,1500000US280039502006,02
805,1500000US280039503001,02
806,1500000US280039503002,02
807,1500000US280039504001,02
808,1500000US280039504002,02
809,1500000US280039504003,02
810,1500000US280039504004,02
811,1500000US280039505001,02
812,1500000US280099501003,02
813,1500000US280099501004,02
814,1500000US280099501005,02
815,1500000US280099502001,02
816,1500000US280099502002,02
817,1500000US280119501001,01
818,1500000US280119501003,01
819,1500000US280119502001,01
820,1500000US280119507012,00
821,1500000US280119507021,01
822,1500000US280119507022,01
823,1500000US280139501001,02
824,1500000US280139501002,02
825,1500000US280139501003,02
826,1500000US280139502001,02
827,1500000US280139503001,02
828,1500000US280139503002,02
829,1500000US280139503003,02
830,1500000US280119502002,01
831,1500000US280119503001,01
832,1500000US280119503002,01
833,1500000US280119503003,01
834,1500000US280119503004,01
835,1500000US280119504001,01
836,1500000US280119504002,01
837,1500000US280119504003,01
838,1500000US280119504005,01
839,1500000US280119505001,01
840,1500000US280119505002,01
841,1500000US280119505003,01
842,1500000US280119506002,01
843,1500000US280119506003,01
844,1500000US280119506004,01
845,1500000US280119507011,01
846,1500000US280070603003,03
847,1500000US280070604001,02
848,1500000US280070604002,02
849,1500000US280070604003,02
850,1500000US280070605003,03
851,1500000US280070606001,03
852,1500000US280070606002,03
853,1500000US280070606003,03
854,1500000US280099501001,02
855,1500000US280099501002,02
856,1500000US280179504001,02
857,1500000US280179504002,02
858,1500000US280179504004,02
859,1500000US280179504005,02
860,1500000US280199501001,02
861,1500000US280199501002,02
862,1500000US280199501003,02
863,1500000US280199502001,02
864,1500000US280199502002,02
865,1500000US280139504002,02
866,1500000US280139504003,02
867,1500000US280139505001,02
868,1500000US280139505002,02
869,1500000US280139505003,02
870,1500000US280159501001,02
871,1500000US280159501002,02
872,1500000US280159501003,02
873,1500000US280159501004,02
874,1500000US280159502001,02
875,1500000US280159502002,02
876,1500000US280159502003,02
877,1500000US280159502005,02
878,1500000US280179501001,02
879,1500000US280179501004,02
880,1500000US280179502001,02
881,1500000US280179502002,02
882,1500000US280179503001,02
883,1500000US280179503002,02
884,1500000US280179503003,02
885,1500000US280179503004,02
886,1500000US280219503004,01
887,1500000US280239501001,04
888,1500000US280239501002,04
889,1500000US280239501003,04
890,1500000US280239501004,04
891,1500000US280239501005,04
892,1500000US280239502002,03
893,1500000US280239502003,03
894,1500000US280259501003,02
895,1500000US280259502001,02
896,1500000US280259502002,02
897,1500000US280259503003,03
898,1500000US280259504001,03
899,1500000US280259504002,03
900,1500000US280259504003,03
901,1500000US280259504004,03
902,1500000US280259505001,03
903,1500000US280259505002,03
904,1500000US280239502004,03
905,1500000US280239503001,03
906,1500000US280239503002,03
907,1500000US280239503004,03
908,1500000US280239504001,03
909,1500000US280239504002,03
910,1500000US280239504003,03
911,1500000US280259501001,02
912,1500000US280259501002,02
913,1500000US280199502003,03
914,1500000US280199503001,03
915,1500000US280199503002,03
916,1500000US280219501003,01
917,1500000US280219502001,01
918,1500000US280219502002,01
919,1500000US280219503001,01
920,1500000US280219503002,01
921,1500000US280219503003,01
922,1500000US280279503003,01
923,1500000US280279504002,01
924,1500000US280279504003,01
925,1500000US280279504004,01
926,1500000US280279505002,01
927,1500000US280279505003,01
928,1500000US280279505004,01
929,1500000US280279506001,01
930,1500000US280279507001,01
931,1500000US280279507003,01
932,1500000US280279507004,01
933,1500000US280279507005,01
934,1500000US280299501001,03
935,1500000US280299501002,03
936,1500000US280299501004,03
937,1500000US280299501005,03
938,1500000US280299502001,03
939,1500000US280299502002,03
940,1500000US280299502003,03
941,1500000US280299502004,03
942,1500000US280299505002,03
943,1500000US280299505003,03
944,1500000US280299505004,03
945,1500000US280299506001,03
946,1500000US280299506002,01
947,1500000US280299502005,03
948,1500000US280299503001,01
949,1500000US280299503002,01
950,1500000US280299503003,01
951,1500000US280299504003,03
952,1500000US280299504004,03
953,1500000US280299505001,03
954,1500000US280259505003,03
955,1500000US280279501001,01
956,1500000US280279501003,01
957,1500000US280279501004,01
958,1500000US280279502001,01
959,1500000US280279502002,01
960,1500000US280279503001,01
961,1500000US280279503002,01
962,1500000US280319504003,03
963,1500000US280319504004,03
964,1500000US280330701012,02
965,1500000US280330701021,02
966,1500000US280330702101,02
967,1500000US280330702211,02
968,1500000US280330702212,02
969,1500000US280330702221,02
970,1500000US280330703101,02
971,1500000US280330703221,02
972,1500000US280330703222,02
973,1500000US280330703231,02
974,1500000US280330703232,02
975,1500000US280590408001,04
976,1500000US280590409001,04
977,1500000US280590409002,04
978,1500000US280590409003,04
979,1500000US280590410002,04
980,1500000US280590410003,04
981,1500000US280590421004,00
982,1500000US280590422001,04
983,1500000US280590422002,04
984,1500000US280590422003,04
985,1500000US280590425001,04
986,1500000US280590425002,04
987,1500000US280590425003,04
988,1500000US280590426002,04
989,1500000US280590426003,04
990,1500000US280590427001,04
991,1500000US280590427002,04
992,1500000US280590429001,04
993,1500000US280590429003,04
994,1500000US280619501001,03
995,1500000US280619501002,03
996,1500000US280590410004,04
997,1500000US280590411001,04
998,1500000US280590411003,04
999,1500000US280590411004,04
1000,1500000US280590411005,04
1001,1500000US280590413001,04
1002,1500000US280590413002,04
1003,1500000US280590413004,04
1004,1500000US280590413005,04
1005,1500000US280590413006,04
1006,1500000US280590414002,04
1007,1500000US280590414003,04
1008,1500000US280590414004,04
1009,1500000US280590415001,04
1010,1500000US280590416001,04
1011,1500000US280590417001,04
1012,1500000US280590417002,04
1013,1500000US280590418002,04
1014,1500000US280590418003,04
1015,1500000US280590419001,04
1016,1500000US280590419002,04
1017,1500000US280590420001,04
1018,1500000US280590420002,04
1019,1500000US280590420004,04
1020,1500000US280590421001,00
1021,1500000US280590421002,04
1022,1500000US280319501001,03
1023,1500000US280319501002,03
1024,1500000US280319501003,03
1025,1500000US280319502002,03
1026,1500000US280319503001,03
1027,1500000US280319503002,03
1028,1500000US280319503003,03
1029,1500000US280319503004,03
1030,1500000US280319504001,03
1031,1500000US280319504002,03
1032,1500000US280679508004,03
1033,1500000US280679508005,03
1034,1500000US280679509001,03
1035,1500000US280679509002,03
1036,1500000US280679509003,03
1037,1500000US280679509004,03
1038,1500000US280679510001,03
1039,1500000US280679510002,03
1040,1500000US280679510003,03
1041,1500000US280679511001,03
1042,1500000US280679511002,03
1043,1500000US280679511003,03
1044,1500000US280839504003,01
1045,1500000US280839506001,01
1046,1500000US280839506003,01
1047,1500000US280839506004,01
1048,1500000US280839506006,01
1049,1500000US280839507001,01
1050,1500000US280839507002,01
1051,1500000US280839508001,01
1052,1500000US280839508002,01
1053,1500000US280839508003,01
1054,1500000US280839509001,01
1055,1500000US280839509002,01
1056,1500000US280839509004,01
1057,1500000US280859501001,03
1058,1500000US280859501002,03
1059,1500000US280859501003,03
1060,1500000US280859501004,03
1061,1500000US280859502001,03
1062,1500000US280859502002,01
1063,1500000US280719505015,02
1064,1500000US280719505021,02
1065,1500000US280719505022,02
1066,1500000US280719505031,02
1067,1500000US280719505032,02
